GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Iris,com.service,SkuService,69,0,6,0,18,0,9,0,6,0
Iris,com.service,AlgoService,69,0,10,0,16,0,9,0,4,0
Iris,com.service,ApiException,4,0,0,0,2,0,1,0,1,0
Iris,com.service,StyleService,69,0,6,0,18,0,9,0,6,0
Iris,com.service,StoreService,27,0,2,0,8,0,5,0,4,0
Iris,com.service,SalesService,12,0,0,0,4,0,3,0,3,0
Iris,com.pojo,AlgoInputPojo,52,0,4,0,20,0,14,0,12,0
Iris,com.pojo,NoosPojo,38,0,0,0,16,0,11,0,11,0
Iris,com.pojo,GoodSizesPojo,52,0,0,0,22,0,15,0,15,0
Iris,com.pojo,StorePojo,24,0,0,0,10,0,7,0,7,0
Iris,com.pojo,StylePojo,52,0,0,0,22,0,15,0,15,0
Iris,com.pojo,LiquidationPojo,52,0,0,0,22,0,15,0,15,0
Iris,com.pojo,SkuPojo,31,0,0,0,13,0,9,0,9,0
Iris,com.pojo,SalesPojo,52,0,0,0,22,0,15,0,15,0
Iris,com.model,SkuDisplay,24,0,0,0,10,0,7,0,7,0
Iris,com.model,MessageData,10,0,0,0,4,0,3,0,3,0
Iris,com.model,LiquidationHelper,59,0,0,0,25,0,17,0,17,0
Iris,com.model,InputForm,48,0,4,0,18,0,13,0,11,0
Iris,com.model,InfoData,13,0,0,0,6,0,3,0,3,0
Iris,com.model,SalesData,59,0,0,0,25,0,17,0,17,0
Iris,com.model,SizeIdentificationHelper,24,0,0,0,10,0,7,0,7,0
Iris,com.model,NoosHelper,24,0,0,0,10,0,7,0,7,0
Iris,com.util,DatatypeConversion,9,0,0,0,3,0,3,0,3,0
Iris,com.util,NumberUtil,32,0,8,0,13,0,9,0,5,0
Iris,com.util,StringUtil,35,0,10,0,9,0,10,0,5,0
Iris,com.util,PDFConversion,69,0,0,0,18,0,3,0,3,0
Iris,com.util,DateUtil,9,0,0,0,2,0,2,0,2,0
Iris,com.util,FileUtil,87,0,2,0,20,0,5,0,4,0
Iris,com.dto,AlgoDto,898,0,52,0,160,0,35,0,9,0
Iris,com.dto,SalesDto,191,0,22,0,36,0,16,0,5,0
Iris,com.dto,SkuDto,316,0,22,0,76,0,19,0,8,0
Iris,com.dto,StyleDto,373,0,28,0,78,0,22,0,8,0
Iris,com.dto,StoreDto,169,0,16,0,39,0,13,0,5,0
Iris,com.controller,SalesController,8,0,0,0,3,0,2,0,2,0
Iris,com.controller,StoreController,13,0,0,0,5,0,3,0,3,0
Iris,com.controller,StyleController,21,0,0,0,8,0,4,0,4,0
Iris,com.controller,SiteUIController,35,0,0,0,8,0,5,0,5,0
Iris,com.controller,AppRestControllerAdvice,30,0,0,0,7,0,3,0,3,0
Iris,com.controller,SkuController,18,0,0,0,7,0,4,0,4,0
Iris,com.controller,AlgoRunController,24,0,0,0,8,0,3,0,3,0
Iris,com.dao,StyleDao,36,0,0,0,10,0,5,0,5,0
Iris,com.dao,StoreDao,38,0,0,0,10,0,5,0,5,0
Iris,com.dao,AlgoParametersDao,20,0,0,0,6,0,3,0,3,0
Iris,com.dao,SkuDao,39,0,0,0,10,0,4,0,4,0
Iris,com.dao,AbstractDao,19,0,0,0,4,0,4,0,4,0
Iris,com.dao,SalesDao,20,0,0,0,6,0,3,0,3,0
Iris,com.spring,DbConfig,108,0,0,0,28,0,4,0,4,0
Iris,com.spring,ControllerConfig,120,0,0,0,28,0,9,0,9,0
Iris,com.spring,SpringConfig,9,0,0,0,3,0,2,0,2,0
Iris,com.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
